Index,DateStart,DateEnd,DateSet,Course,Center,Teachers
Pabbata6,2027/08/14,2027/08/25,14-08-2027 - 25-08-2027,10D,Pabbata,U Man Maung Daw Ye Ye2
Pabbata7,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Pabbata,U Sein Win - Daw Nang Sam Hom
Pabbata8,2027/10/03,2027/10/14,3-10-2027 - 14-10-2027,10D,Pabbata,U Kyi Ohn - Daw Lay Sint
Sangam1,2027/03/07,2027/03/18,7-03-2027 - 18-03-2027,10D,Sangam,U Aung Kyaw Nyan Wai - Daw Wai Wai
Sangam2,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Sangam,U Kyi Ohn - Daw Ye Ye 1
Sangam3,2027/04/22,2027/04/30,22-04-2027 - 30-04-2027,STP,Sangam,U Kyi Ohn - Daw Ye Ye 1
Sangam4,2027/05/07,2027/05/18,7-05-2027 - 18-05-2027,10D,Sangam,U Zaw Tun - Daw Kay Thi
Sangam5,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Sangam,U Zaw Tun - Daw Swe Swe Maw
Sangam6,2027/10/08,2027/10/19,8-10-2027 - 19-10-2027,10D,Sangam,U Tun Tun Khaing - Daw Mi Mi Myaing
Makuta1,2027/02/24,2027/03/07,24-02-2027 - 7-03-2027,S10D,Makuta,Dr Mg Mg Aye Daw Yi Yi Win
Makuta2,2027/04/07,2027/04/18,7-04 -2027 - 18-04 -2027,10D,Makuta,U Man Maung Daw Ye Ye 2
Makuta3,2027/05/02,2027/05/13,2-05-2027 -  13-05-2027,10D,Makuta,U Tun Tun Khaing - Daw Wai Wai
Makuta4,2027/06/06,2027/06/17,6-06-2027 -  17-06-2027,10D,Makuta,U Sein Win - Daw Nang Sam Hom
Makuta5,2027/07/01,2027/07/09,1-07-2027 - 9-7-2027,STP,Makuta,U Aung Kyaw Nyan Wai - Daw Khin Ohn Myint
Makuta6,2027/07/20,2027/07/31,20-07-2027 - 31-07-2027,10D,Makuta,U Chandra Kumar - Daw Ye Ye 1
Makuta7,2027/08/20,2027/08/31,20-08-2027 - 31-08-2027,10D,Makuta,U Thein Htwe - Daw Than Aye
Makuta8,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Makuta,U Soe Oo - Daw Nan Cho Cho
Makuta9,2027/10/17,2027/10/28,17-10-2027 - 28-10-2027,10D,Makuta,U Man Maung Daw Ye Ye 2
Makuta10,2027/11/14,2027/11/25,14-11-2027 - 25-11-2027,10D,Makuta,Dr Mg Mg Aye Daw Yi Yi Win
Mahima1_2,2027/02/09,2027/02/20,9-02-2027 - 20-02-2027,10D,Mahima2,U Sein Win - Daw Khin Myint May
Mahima2_2,2027/02/24,2027/03/07,24-02-2027 - 7-03-2027,10D,Mahima2,U Chandra Kumar - Daw Soe Phint
Mahima3_2,2027/03/12,2027/03/23,12-03-2027 - 23-03-2027,10D,Mahima2,U Zaw Tun - Daw Mi Mi Myaing
Mahima4_2,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Mahima2,U Khin Mg Soe - Daw Myat Lay Khine
Mahima5_1,2027/04/09,2027/04/20,9-04-2027 - 20-04-2027,10D,Mahima1,Daw Kay Thi Daw Nan Cho Cho
Mahima6_2,2027/04/25,2027/05/06,25-04-2027 - 6-05-2027,10D,Mahima2,U Sai Cho - Daw Nang Htwe May
Mahima7_1,2027/04/28,2027/05/06,28-04-2027 - 6-05-2027,TeenGirls,Mahima1,Daw Myat Lay Khine Daw Khin Ohn Myint
Mahima8_1,2027/05/11,2027/05/22,11-05-2027 - 22-05-2027,10D,Mahima1,U San Win Daw Tin Tin Ye
Mahima9_2,2027/05/13,2027/06/03,13-05-2027 - 3-06-2027,20D,Mahima2,U Aung Myat Cho - Daw Hla Hla Myint
Mahima10_1,2027/05/23,2027/06/03,23-05-2027 - 3-06-2027,10D,Mahima1,U Win Myint - Daw Swe Swe Maw
Mahima11_2,2027/06/09,2027/06/20,9-06-2027 - 20-06-2027,10D,Mahima2,U Tint Lwin - Daw Win Win Myint
Mahima12_1,2027/06/25,2027/07/06,25-06-2027 - 6-07-2027,10D,Mahima1,Dr Tin Mg Yin Daw Swe Swe Win
Mahima13_2,2027/06/26,2027/07/04,26-06-2027 - 4-07-2027,STP,Mahima2,U San Win Daw Tin Tin Ye
Mahima14_1,2027/07/11,2027/07/22,11-07-2027 - 22-07-2027,10D,Mahima1,U Tun Tun Khaing - Daw Khin Ohn Myint
Mahima15_2,2027/07/11,2027/07/22,11-07-2027 - 22-07-2027,S10D,Mahima2,U Thein Htwe - Daw Myat Lay Khine
Mahima16_2,2027/07/29,2027/08/09,29-07-2027 - 9-08-2027,10D,Mahima2,U Sein Tun - Nang Sam Hom
Mahima17_2,2027/08/17,2027/08/28,17-08-2027 - 28-08-2027,10D,Mahima2,U Sein Win - Daw Khin Ohn Myint
Mahima18_2,2027/09/02,2027/09/13,2-09-2027 - 13-09-2027,10D,Mahima2,U Aung Kyaw Oo - Daw Hla Myint
Mahima19_1,2027/09/03,2027/09/11,3-09-2027 - 11-09-2027,STP,Mahima1,Dr Myo Aung Daw Khin Than Hme
Mahima20_2,2027/09/18,2027/09/29,18-09-2027 - 29-09-2027,10D,Mahima2,Dr Tin Mg Yin Daw Swe Swe Win
Mahima21_1,2027/10/04,2027/10/15,4-10-2027 - 15-10-2027,10D,Mahima1,U Win Myint - Daw Nyo Nyo Win
Mahima22_2,2027/10/06,2027/10/27,6-10-2027 - 27-10-2027,20D,Mahima2,U Sai Hsai Leng - Daw Nan Kham Phone
Mahima23_1,2027/10/16,2027/10/27,16-10-2027 - 27-10-2027,10D,Mahima1,Dr Mg Mg Aye  Daw Yi Yi Win
Mahima24_2,2027/11/01,2027/11/12,1-11-2027 - 12-11-2027,10D,Mahima2,U Man Maung Daw Ye Ye 2
Mahima25_2,2027/11/17,2027/11/28,17-11-2027 - 28-11-2027,10D,Mahima2,U Soe Min Aye - Dr Khin Aye Kyaing
Canda1,2027/04/10,2027/04/21,10-04-2027 - 21-04-2027,10D,Canda,U Myo Myint Thein - Dr Khin Aye Kyaing
Canda2,2027/07/06,2027/07/17,6-07-2027 - 17-07-2027,10D,Canda,U Tin Maung - Daw Wai Wai
Canda3,2027/09/30,2027/10/11,30-09-2027 - 11-10-2027,10D,Canda,U Tint Lwin - Daw Than Aye
Canda4,2027/10/14,2027/10/22,14-10-2027 - 22-10-2027,TeenGirls,Canda,Daw Soe Phint  Daw Swe Swe Maw
